wavelength,ApoSymb_1,ApoSymb_2,ApoSymb_3,ApoSymb_4,ApoSymb_5
774.093,100.8470305,99.97826541,99.94561379,99.84064558,99.73808676
774.27,100.9591471,100.0576516,100.0087831,99.95232987,99.75781345
774.447,101.022401,100.1236554,100.0300931,99.99509594,99.83619961
774.623,101.0641354,100.1802729,100.1286754,100.0332245,99.8456678
774.8,101.1055078,100.2482622,100.1250965,100.0905853,99.91402453
774.977,101.1789922,100.3276109,100.2194012,100.1722991,100.027119
775.154,101.2627871,100.3280026,100.2750199,100.2233036,100.0666104
775.331,101.1655774,100.2420895,100.1654508,100.1602504,99.95721242
775.508,101.1969213,100.2567873,100.1170365,100.2107376,99.97060879
775.685,101.147924,100.2298071,100.0916732,100.2384719,99.94840599
775.861,101.1584007,100.2731818,100.1174384,100.258777,99.96665879
776.038,101.1824943,100.2600133,100.1089648,100.2725083,99.99610982
776.215,101.1190868,100.1369885,100.0532735,100.1717818,99.92749696
776.392,101.1257479,100.1310428,100.0360401,100.1509673,99.8882237
776.568,101.0215024,100.0342649,99.92374509,100.1052001,99.84077601
776.745,100.9136392,99.9200818,99.81382076,99.9864226,99.72758362
776.922,100.7421706,99.72655009,99.64533658,99.82928899,99.54703409
777.098,100.6443106,99.64444419,99.50184886,99.74205613,99.42265436
777.275,100.6580747,99.69997413,99.50843885,99.78975961,99.43526869
777.452,100.5702664,99.61221496,99.48197491,99.69920769,99.37603705
777.628,100.6085177,99.62418061,99.54773923,99.72553315,99.42648408
777.805,100.6468425,99.6881078,99.6572967,99.8256239,99.52651445
777.981,100.6123038,99.68337752,99.63233779,99.79386976,99.50343174
778.158,100.6331899,99.79447418,99.62124336,99.84163751,99.51999872
778.335,100.5843631,99.70348903,99.52875327,99.79364218,99.47339497
778.511,100.6148968,99.69372355,99.52827882,99.75409473,99.45871838
778.688,100.6077138,99.69694953,99.53202365,99.74940298,99.43214641
778.864,100.75813,99.78754296,99.59924631,99.87505413,99.51397291
779.041,100.7830401,99.87114066,99.73561125,99.96556992,99.62680038
779.217,100.7797043,99.78500034,99.72083289,99.93237878,99.61612536
779.393,100.7731294,99.81686288,99.77606146,99.97248976,99.68669115
779.57,100.7552235,99.90253644,99.77059796,100.020785,99.69608593
779.746,100.8424299,99.90883629,99.75623315,100.0509207,99.72486429
779.922,100.8600771,99.93849867,99.76285814,100.0777917,99.73506295
780.099,100.8180607,99.89617479,99.7808044,100.0552946,99.75388792
780.275,100.9195785,99.97230999,99.92001451,100.1861128,99.82025638
780.451,100.8360403,99.9851736,99.9339891,100.1982077,99.82717506
780.628,100.940635,100.0694922,100.0366481,100.2755738,99.95818194
780.804,100.9093101,99.9872092,100.0002629,100.2278342,99.91116168
780.98,100.9684537,100.010205,100.0429295,100.2465209,99.96890588
781.156,100.9790336,100.075183,100.0867927,100.2243518,99.99866202
781.333,101.0452445,100.1225796,100.1101639,100.2413018,100.0306761
781.509,101.0455455,100.0866674,100.0283988,100.2339268,99.97392062
781.685,100.9586589,100.0206644,99.97403489,100.2062828,99.97173869
781.861,100.920033,99.90512635,99.92035801,100.1577059,99.9938103
782.037,100.923897,99.96991473,99.95210682,100.1650447,99.96089449
782.213,100.8401631,99.83549312,99.86788934,100.1005727,99.881593
782.39,100.9241622,99.85688255,99.88743144,100.15706,99.93421107
782.566,100.8892299,99.82958569,99.84576138,100.0953434,99.88977835
782.742,100.9279062,99.94430004,99.92803695,100.15927,100.0217739
782.918,100.8335357,99.87986585,99.88042893,100.1295893,100.0185517
783.094,100.812921,99.83407636,99.81437945,100.1216147,99.96334613
783.27,100.8483562,99.80154223,99.81672684,100.1490311,99.94292227
783.446,100.9043598,99.77909021,99.83033455,100.0785126,99.98158537
783.622,100.8551772,99.8318254,99.83356992,100.1026823,99.94753345
783.798,100.9146345,99.89887925,99.86254718,100.1745835,99.92280294
783.973,100.9354596,99.89980224,99.87150786,100.2355451,100.0384741
784.149,100.9977118,100.0072812,99.84363123,100.2009632,100.0707689
784.325,101.0430113,100.1027445,99.91695777,100.2483849,100.0940609
784.501,101.1791352,100.220141,100.0309121,100.3893496,100.1902208
784.677,101.1190572,100.2122223,99.96607079,100.3350442,100.0642042
784.853,101.1888544,100.2908876,99.97384563,100.3995524,100.1040632
785.029,101.2231533,100.2540399,99.94538949,100.3828199,100.1780937
785.204,101.2471248,100.3300105,99.91555927,100.4008709,100.2175851
785.38,101.2755138,100.4050956,100.0011625,100.5034433,100.277378
785.556,101.3379869,100.3644657,100.0600893,100.5223577,100.3415021
785.732,101.4183156,100.4450145,100.1622621,100.582893,100.4176303
785.907,101.4533404,100.4288624,100.2061136,100.6267782,100.4117383
786.083,101.4536477,100.3775064,100.2773323,100.631488,100.515476
786.259,101.5197702,100.3923313,100.2915195,100.7067083,100.5605679
786.434,101.4438338,100.3493484,100.3181727,100.6965698,100.5898143
786.61,101.4994123,100.314564,100.38721,100.7366165,100.7455491
786.786,101.5583161,100.3118568,100.4449868,100.7366165,100.7546497
786.961,101.5901777,100.4042962,100.4943627,100.8817557,100.7709251
787.137,101.54886,100.3465411,100.4664511,100.889575,100.7907632
787.312,101.510049,100.313059,100.4803414,100.9156187,100.8364762
787.488,101.5307267,100.311679,100.4877727,100.8554302,100.7873854
787.663,101.5270416,100.259273,100.4262394,100.8011609,100.8055268
787.839,101.5797325,100.2749959,100.3647994,100.7254934,100.808978
788.014,101.6042617,100.346678,100.3760338,100.7842008,100.7625326
788.19,101.674526,100.3830194,100.4378874,100.8190385,100.8453477
788.365,101.6742546,100.3826152,100.4619117,100.7985238,100.8120643
788.541,101.6120697,100.3226071,100.3564892,100.7639419,100.7012033
788.716,101.5601911,100.3283006,100.3653413,100.7850844,100.6528675
788.891,101.7029508,100.4558418,100.5263216,100.9257774,100.8303198
789.067,101.6709861,100.4420802,100.4919753,100.9161302,100.713382
789.242,101.7163277,100.481458,100.5322595,101.0055911,100.7086859
789.417,101.7197688,100.5673211,100.4553891,101.1085659,100.7238368
789.593,101.7374222,100.6247373,100.5316542,101.1524511,100.7369906
789.768,101.7018986,100.6930038,100.6221065,101.2560624,100.7479217
789.943,101.76152,100.6890194,100.6888547,101.312268,100.8398375
790.119,101.6253351,100.5605677,100.5602529,101.1674649,100.749153
790.294,101.6008312,100.5030522,100.3896482,101.1092949,100.6481829
