wavelength,Sym_1,Sym_2,Sym_3,Sym_4,Sym_5
243.618,64.54155974,60.9671823,66.90479214,62.39470292,63.80385429
243.836,65.15604798,60.59378339,65.65434547,61.64399334,62.843869
244.054,63.79232071,58.92013321,64.20777952,61.22430675,61.75503548
244.272,62.73230251,58.41371909,63.7266158,60.56256659,61.82753719
244.49,63.56972345,58.54586234,65.06029962,61.14980733,64.07981747
244.708,62.33099357,57.71734172,63.80103116,60.29715194,64.06805963
244.927,61.05372075,56.71103179,62.0763529,59.62528228,61.5763354
245.145,61.74907147,57.0712228,61.29833061,59.54207529,61.54904002
245.363,60.45272664,56.35175228,61.22059271,59.24420891,61.59310659
245.581,60.50576942,56.34686618,61.82293722,58.84155057,61.41127106
245.799,62.56068536,56.27043995,62.81494605,59.66331864,64.13942153
246.017,62.278795,55.34445566,61.70395034,57.8965995,62.03744429
246.235,63.08901686,56.88191326,64.24750515,60.21569165,65.31963174
246.453,63.908011,58.23537124,65.10158327,60.20316275,65.89625708
246.671,65.04269224,59.45293834,66.4625035,61.8000457,66.93403764
246.889,64.28031941,58.79644268,65.19698081,61.09509296,64.15718602
247.107,64.90524461,59.40278433,65.12865415,61.91286389,62.99820678
247.325,64.09597937,59.70177671,65.39784783,60.97508146,62.57993065
247.543,64.1639955,58.60075863,64.85565811,61.93322884,62.76534233
247.76,63.68664418,57.62492754,63.94852118,61.49953738,60.62700313
247.978,63.10592834,56.28043993,63.39878344,59.66973089,59.11602543
248.196,62.32686831,55.42159605,62.61169957,59.82445865,57.83106288
248.414,63.23072658,55.6225282,64.50938195,61.78010683,59.63368359
248.632,61.37078649,54.26903674,63.15779791,60.81064699,57.68546454
248.85,61.540626,53.52643844,62.58561004,60.52061154,58.2016714
249.068,60.98679721,52.95752084,62.02364728,60.03431509,57.72760882
249.286,60.95215571,52.71927764,62.71074497,59.57281755,58.63742683
249.503,61.74800198,53.12622916,63.40226278,59.84823051,59.56781431
249.721,64.86053761,55.10405084,66.03567671,61.52058331,62.02530853
249.939,64.99226919,54.53834599,67.16487371,60.79134496,62.80030265
250.157,66.37081976,57.63906344,68.59203444,62.52201767,65.64168971
250.375,66.2832717,58.96849131,68.88490935,63.85831897,66.87815954
250.592,65.41527245,59.4617949,68.65626401,61.76412166,65.09561376
250.81,63.2775051,59.5372385,67.22007909,60.20406249,63.132533
251.028,65.27863255,60.59424109,68.22543238,60.01042036,63.13079442
251.246,64.01933984,59.68564672,67.32704061,60.40315171,62.43050594
251.463,64.91309746,61.07738501,68.92479029,61.47679886,63.69398341
251.681,64.59016694,61.37330593,67.71575875,61.00747379,62.58309919
251.899,63.5774141,60.93947643,66.87112477,59.67156382,61.33480813
252.116,61.80129518,59.22107859,64.29809245,58.99472939,59.48578805
252.334,62.17880962,60.662001,64.32839989,58.39457808,57.41990052
252.552,61.62153999,59.3897785,63.87568163,56.86676689,56.52090861
252.769,61.51168881,59.11030964,63.33491737,56.89727068,56.02099304
252.987,60.78925064,58.09119713,63.27960748,56.86191044,55.68604176
253.205,61.54753539,57.91501,63.65274183,56.24297628,55.54509364
253.422,59.89878684,57.61703921,62.49442519,56.16692834,55.27545031
253.64,61.44504019,59.10366283,64.50064578,56.15403309,56.80839944
253.857,60.97372736,57.48985103,62.42794314,54.29264434,55.74468273
254.075,61.56891877,58.14197467,63.93934055,55.67535046,56.84479546
254.293,61.9990542,57.93483783,64.5775295,56.97351422,57.71742598
254.51,61.6981035,58.44487927,66.55038653,58.14477559,59.24631016
254.728,60.22249972,57.68540966,64.90746663,58.0859072,59.72214421
254.945,59.60476869,56.66873182,64.22298562,57.98184372,57.76126453
255.163,59.01299378,56.52597771,64.18876612,56.7621743,56.51293009
255.38,58.58161561,56.39795378,62.94901169,55.29256823,55.21980822
255.598,58.3772831,55.99792809,62.59888528,55.23073851,55.2845297
255.815,59.18415048,54.94771222,63.09666247,54.81558801,56.23819502
256.033,58.22832965,53.87121275,61.31758945,54.86129905,55.42537782
256.25,57.48664474,53.50328403,61.66242596,55.31786156,54.15738044
256.467,56.95268487,53.03185192,60.64519174,54.50204273,53.9884823
256.685,57.53039442,54.11136942,60.87488439,54.41262098,54.31655561
256.902,58.51899244,54.13744428,60.1794195,53.82360003,53.9316074
257.12,58.85699504,53.99669178,61.01132438,53.71331864,55.12044773
257.337,60.07999401,55.63381492,62.25370846,54.6195084,58.23521815
257.555,61.44259096,55.89487356,63.20927087,56.56133057,60.29272269
257.772,62.05603561,55.78407808,63.82260526,57.70811246,61.38624719
257.989,61.3616412,55.36919986,63.59198436,57.69248641,59.83281784
258.207,60.33063557,55.13501632,62.66988207,57.36807831,59.47981252
258.424,60.54674711,55.11877707,63.03705928,57.25687774,58.78461006
258.641,59.66428475,55.84539204,63.00538389,56.22238954,57.94332658
258.859,59.20908758,55.44548461,62.8657517,55.4171274,57.08398587
259.076,59.17119054,54.76426239,62.82127965,55.51628259,57.31103283
259.293,58.50747346,54.17955959,62.6099159,54.24467288,55.68101932
259.51,58.88984644,54.18727739,62.29648105,54.81108452,54.67601041
259.728,57.41915106,52.52104845,59.9651969,53.46785192,52.8133158
259.945,58.66477663,53.31355817,61.08000555,53.81667917,54.12346308
260.162,58.92013941,53.84102737,61.00992979,53.45701707,54.45926742
260.379,61.35808693,55.84786874,62.56446559,54.4586396,58.10410646
260.597,62.13928368,57.01440784,63.45772726,55.17345672,58.83777678
260.814,61.98088683,57.1180435,63.60985539,54.83363166,57.63740465
261.031,62.90123355,57.27595912,63.73852415,55.85416387,59.77470471
261.248,63.68848117,57.73423073,65.04384727,58.14416795,61.53880969
261.465,64.22551058,57.77280267,65.07998873,58.53722836,61.66033451
261.682,63.87254863,57.403487,64.82068612,58.33705417,62.40304009
