genes,signedlogP
evm.TU.Ap1.1203,-0.572602913834592
evm.TU.Ap1.1204,NA
evm.TU.Ap1.1205,-0.111359835673241
evm.TU.Ap1.1206,NA
evm.TU.Ap1.1207,NA
evm.TU.Ap1.1208,NA
evm.TU.Ap1.1209,NA
evm.TU.Ap1.121,1.95341133566046
evm.TU.Ap1.1210,NA
evm.TU.Ap1.1211,NA
evm.TU.Ap1.1212,NA
evm.TU.Ap1.1213,NA
evm.TU.Ap1.1214,NA
evm.TU.Ap1.1215,NA
evm.TU.Ap1.1216,0.175457661155543
evm.TU.Ap1.1217,0.555792297595293
evm.TU.Ap1.1218,0.0748829379092087
evm.TU.Ap1.1219,0.860873497622382
evm.TU.Ap1.122,0.0317719981928539
evm.TU.Ap1.1220,-0.131160683336443
evm.TU.Ap1.1221,NA
evm.TU.Ap1.1222,NA
evm.TU.Ap1.1223,0.594426569186076
evm.TU.Ap1.1224,-0.0452884061978756
evm.TU.Ap1.1225,0.0317710877618892
evm.TU.Ap1.1226,NA
evm.TU.Ap1.1227,NA
evm.TU.Ap1.1228,NA
evm.TU.Ap1.1229,-0.24315176149848
evm.TU.Ap1.123,-0.308886018275885
evm.TU.Ap1.1230,0.0685173193460486
evm.TU.Ap1.1231,0.435295598447301
evm.TU.Ap1.1232,0.606497661249574
evm.TU.Ap1.1233,0.120025576355981
evm.TU.Ap1.1234,-2.14988247687271
evm.TU.Ap1.1235,-0.0414119721577793
evm.TU.Ap1.1236,NA
evm.TU.Ap1.1237,NA
evm.TU.Ap1.1238,-0.285409761036558
evm.TU.Ap1.1239,-3.74013757115069
evm.TU.Ap1.124,-0.536526973388466
evm.TU.Ap1.1240,-0.0360703527697609
evm.TU.Ap1.1241,-0.0363768793133505
evm.TU.Ap1.1242,-0.0336874137854856
evm.TU.Ap1.1243,-0.214655802117278
evm.TU.Ap1.1244,-2.97239713612511
evm.TU.Ap1.1245,-2.71586386041713
evm.TU.Ap1.1246,3.77864634891493
evm.TU.Ap1.1247,0.696610743454381
evm.TU.Ap1.1248,-1.36451195575814
evm.TU.Ap1.1249,-0.26943879399854
evm.TU.Ap1.125,0.526633240031026
evm.TU.Ap1.1250,-0.0646837719298972
evm.TU.Ap1.1251,-0.0699566607091516
evm.TU.Ap1.1252,-0.0898671766506492
evm.TU.Ap1.1253,-0.596380842286922
evm.TU.Ap1.1254,0.10883068454467
evm.TU.Ap1.1255,-4.37757675506299
evm.TU.Ap1.1256,-1.59399919964393
evm.TU.Ap1.1257,-0.490539911301705
evm.TU.Ap1.1258,-5.42973393324861
evm.TU.Ap1.1259,2.21067637757143
evm.TU.Ap1.126,-0.312789900661933
evm.TU.Ap1.1260,1.20248442081824
evm.TU.Ap1.1261,-1.22490963727761
evm.TU.Ap1.1262,-0.896403804265121
evm.TU.Ap1.1263,-0.970105831071078
evm.TU.Ap1.1264,-8.5558192414834
evm.TU.Ap1.1265,-0.0699561891095961
evm.TU.Ap1.1266,-1.24083978870038
evm.TU.Ap1.1267,-4.17896225779267
evm.TU.Ap1.1268,0.911104339475905
evm.TU.Ap1.1269,-1.66188401129386
evm.TU.Ap1.127,-0.000928242725318908
evm.TU.Ap1.1270,-0.000928276704003402
evm.TU.Ap1.1271,NA
evm.TU.Ap1.1272,1.01855328854775
evm.TU.Ap1.1273,-0.176315406480183
evm.TU.Ap1.1274,-0.0699561891095961
evm.TU.Ap1.1275,0.117735026369673
evm.TU.Ap1.1276,1.39305953679175
evm.TU.Ap1.1277,0.264318391385285
evm.TU.Ap1.1278,-0.336450980165182
evm.TU.Ap1.1279,-0.178827281677989
evm.TU.Ap1.128,-0.0719879307681773
evm.TU.Ap1.1280,NA
evm.TU.Ap1.1281,-0.112359473971478
evm.TU.Ap1.1282,0.390781849950734
evm.TU.Ap1.1283,-0.922680511919485
evm.TU.Ap1.1284,1.99855007640432
evm.TU.Ap1.1285,0.0494670681307151
evm.TU.Ap1.1286,-0.156934471302975
evm.TU.Ap1.1287,NA
evm.TU.Ap1.1288,NA
evm.TU.Ap1.1289,NA
evm.TU.Ap1.129,-0.0530851655659376
evm.TU.Ap1.1290,NA
evm.TU.Ap1.1291,NA
evm.TU.Ap1.1292,-8.846790291842
